,LIRA,LIMF,LIBD,LIPZ,LIRQ,LICJ,LICA,LIEO,LIPX,LIPY,LIPQ,LIRN,LIBP,LIMJ,LICC
LIRA,0.0,550.0231533555146,353.9206508215743,412.00170839271607,250.64319292742198,404.7595499099452,445.8808115252868,276.98607410696127,422.6831655441416,215.15325857387137,452.63658782698184,173.86721794104443,151.94478901391247,415.38626911634407,526.125712333917
LIMF,550.0231533555146,0.0,865.484163520528,369.3796520562832,321.78098535815957,901.8836650509359,995.9039381715309,499.6190783419862,254.74767422481528,498.52985016873737,460.32772731606127,722.0184144004432,608.5866932436181,134.70893868532653,1058.9242247453244
LIBD,353.9206508215743,865.484163520528,0.0,602.0790023931023,543.7495211755354,453.61358855866223,251.78324692217413,609.0245981578363,670.4890060345715,383.19658761045935,584.0099681623598,209.02057816062083,256.9940851417994,734.1082926751164,433.13793068201005
LIPZ,412.00170839271607,369.3796520562832,602.0790023931023,0.0,209.22528539278827,816.3883802720875,800.2520916855747,559.8079873790863,114.72436646067514,229.16127676643865,95.0134379601448,537.04221861884,369.61504742393083,294.2680052005242,921.5643418037614
LIRQ,250.64319292742198,321.78098535815957,543.7495211755354,209.22528539278827,0.0,645.5470247706211,688.338875828711,350.6162469018684,178.1993673756379,187.3098939577766,287.4110197021972,412.36924718227635,286.81046949463683,192.50383177804656,776.6412647485431
LICJ,404.7595499099452,901.8836650509359,453.61358855866223,816.3883802720875,645.5470247706211,0.0,284.92302907832163,433.21335524446437,822.6893643075314,605.3021942734432,850.1865327356895,317.1799063799452,485.1389211343255,774.8726203936518,190.03730082481593
LICA,445.8808115252868,995.9039381715309,251.78324692217413,800.2520916855747,688.338875828711,284.92302907832163,0.0,616.838155942107,845.4181835763492,571.1194727176842,801.6269989965904,275.98989892657465,430.66093265327066,861.2569681417225,190.2740718890136
LIEO,276.98607410696127,499.6190783419862,609.0245981578363,559.8079873790863,350.6162469018684,433.21335524446437,616.838155942107,0.0,510.59857225327437,446.4365486464428,633.3556328166167,402.3647064152434,427.5564311769401,391.5663161840385,613.9257076904332
LIPX,422.6831655441416,254.74767422481528,670.4890060345715,114.72436646067514,178.1993673756379,822.6893643075314,845.4181835763492,510.59857225327437,0.0,287.29879972228775,207.47453599238233,572.3626568139288,421.1589922373468,188.16243039840967,947.536309860769
LIPY,215.15325857387137,498.52985016873737,383.19658761045935,229.16127676643865,187.3098939577766,605.3021942734432,571.1194727176842,446.4365486464428,287.29879972228775,0.0,245.31509962208258,310.4425313768006,140.46136323564457,376.3343733315995,696.1876103714313
LIPQ,452.63658782698184,460.32772731606127,584.0099681623598,95.0134379601448,287.4110197021972,850.1865327356895,801.6269989965904,633.3556328166167,207.47453599238233,245.31509962208258,0.0,553.0055513087857,378.2701646630655,389.2760452334035,938.2953277032209
LIRN,173.86721794104443,722.0184144004432,209.02057816062083,537.04221861884,412.36924718227635,317.1799063799452,275.98989892657465,402.3647064152434,572.3626568139288,310.4425313768006,553.0055513087857,0.0,175.54307045954312,587.3214164711571,385.7881123373926
LIBP,151.94478901391247,608.5866932436181,256.9940851417994,369.61504742393083,286.81046949463683,485.1389211343255,430.66093265327066,427.5564311769401,421.1589922373468,140.46136323564457,378.2701646630655,175.54307045954312,0.0,477.8354062969868,560.0539037554024
LIMJ,415.38626911634407,134.70893868532653,734.1082926751164,294.2680052005242,192.50383177804656,774.8726203936518,861.2569681417225,391.5663161840385,188.16243039840967,376.3343733315995,389.2760452334035,587.3214164711571,477.8354062969868,0.0,927.407435426296
LICC,526.125712333917,1058.9242247453244,433.13793068201005,921.5643418037614,776.6412647485431,190.03730082481593,190.2740718890136,613.9257076904332,947.536309860769,696.1876103714313,938.2953277032209,385.7881123373926,560.0539037554024,927.407435426296,0.0
